x1,x1_mean,condition,binchoice,bincorrect,x2,x2_mean,xavg,estim,binrt,subj,x1_relative,x2_relative
53.25,2,-1,1,1,44.375,3,48.8125,NaN,0.449591908953153,1,3.25,-5.625
55.625,2,-1,1,1,57.25,1,56.4375,NaN,0.468856393825263,1,5.625,7.25
54.5,2,0,NaN,0,41.125,4,47.8125,41,3.23370043043599,1,4.5,-8.875
45.375,3,1,-1,1,41.625,4,43.5,44,2.34999922124807,1,-4.625,-8.375
47.5,3,1,1,0,38.625,4,43.0625,41,6.40150131907803,1,-2.5,-11.375
47.75,3,1,1,0,57.5,1,52.625,54,5.83461986233983,1,-2.25,7.5
52,2,0,NaN,0,39.5,4,45.75,57,5.86799280953703,1,2,-10.5
46.625,3,1,-1,1,38.375,4,42.5,40,5.50118576704884,1,-3.375,-11.625
47.5,3,0,NaN,0,47.875,3,47.6875,55,3.85059207244019,1,-2.5,-2.125
47.25,3,1,-1,1,41.375,4,44.3125,45,3.13363730828738,1,-2.75,-8.625
48.625,3,0,NaN,0,42.375,4,45.5,42,4.30069455905106,1,-1.375,-7.625
52.25,2,1,1,1,39.25,4,45.75,46,6.10136313841393,1,2.25,-10.75
51.625,2,0,NaN,0,48.375,3,50,46,4.15066483516483,1,1.625,-1.625
54.75,2,1,1,1,47.25,3,51,55,3.06694321021938,1,4.75,-2.75
46.75,3,0,NaN,0,47.75,3,47.25,52,2.83361584083786,1,-3.25,-2.25
53.25,2,1,1,1,58.75,1,56,60,3.93437002102591,1,3.25,8.75
44.25,3,1,-1,1,48.25,3,46.25,54,3.68385692466378,1,-5.75,-1.75
46.875,3,0,NaN,0,39.875,4,43.375,45,3.10029331653906,1,-3.125,-10.125
53.375,2,1,1,1,42,4,47.6875,57,4.73420301900266,1,3.375,-8
55.375,2,0,NaN,0,37.625,4,46.5,54,3.06693897528464,1,5.375,-12.375
47,3,0,NaN,0,46.5,3,46.75,45,4.01732601063197,1,-3,-3.5
52.375,2,0,NaN,0,54.5,2,53.4375,57,3.86725092752013,1,2.375,4.5
53.375,2,0,NaN,0,38,4,45.6875,46,3.08360974134169,1,3.375,-12
54.625,2,1,1,1,58,1,56.3125,65,4.53413948506367,1,4.625,8
54.875,2,0,NaN,0,58.375,1,56.625,59,3.7671954266672,1,4.875,8.375
51.125,2,1,1,1,54.625,2,52.875,54,9.18585811996668,1,1.125,4.625
55.875,2,0,NaN,0,58.5,1,57.1875,55,4.38407380886262,1,5.875,8.5
47.25,3,1,-1,1,54,2,50.625,48,4.35075508311183,1,-2.75,4
51.25,2,1,1,1,58.875,1,55.0625,60,4.96763642559606,1,1.25,8.875
45.5,3,1,1,0,59.25,1,52.375,51,7.40188020192804,1,-4.5,9.25
48.75,3,0,NaN,0,54,2,51.375,55,4.16731163962391,1,-1.25,4
45.125,3,0,NaN,0,48.75,3,46.9375,49,3.28367431150077,1,-4.875,-1.25
51.75,2,1,-1,0,45.5,3,48.625,51,3.00024904312294,1,1.75,-4.5
53.75,2,1,1,1,53.125,2,53.4375,53,4.05068506763994,1,3.75,3.125
46.375,3,1,1,0,46.875,3,46.625,54,4.00057372951958,1,-3.625,-3.125
55.25,2,1,1,1,55.625,2,55.4375,61,3.31697089578292,1,5.25,5.625
47.5,3,1,1,0,51.375,2,49.4375,55,3.33370821121117,1,-2.5,1.375
48.5,3,0,NaN,0,42.125,4,45.3125,45,2.68349553179672,1,-1.5,-7.875
44.75,3,0,NaN,0,40.375,4,42.5625,44,3.25032677946602,1,-5.25,-9.625
51.125,2,1,-1,0,57.625,1,54.375,63,2.41668564763756,1,1.125,7.625
53.625,2,1,1,1,46.625,3,50.125,59,3.18364555956679,1,3.625,-3.375
48,3,0,NaN,0,46.375,3,47.1875,45,2.09992199587416,1,-2,-3.625
53.25,2,0,NaN,0,53.5,2,53.375,52,3.56712120125362,1,3.25,3.5
54.625,2,0,NaN,0,58.75,1,56.6875,61,4.0504958939977,1,4.625,8.75
55.375,2,1,1,1,47.125,3,51.25,56,9.56933792676637,1,5.375,-2.875
47.25,3,1,1,0,44.75,3,46,60,2.78348634783989,1,-2.75,-5.25
51.5,2,0,NaN,0,42.25,4,46.875,50,2.56676201055262,1,1.5,-7.75
52.875,2,1,1,1,62.5,1,57.6875,64,4.01730491530131,1,2.875,12.5
54.625,2,0,NaN,0,37.25,4,45.9375,55,2.04989452334669,1,4.625,-12.75
45.5,3,1,1,0,40.5,4,43,50,3.71713302376324,1,-4.5,-9.5
44.375,3,1,-1,1,37.625,4,41,61,1.76647246796525,1,-5.625,-12.375
44.5,3,0,NaN,0,40.625,4,42.5625,57,2.8501414488039,1,-5.5,-9.375
54.125,2,1,1,1,53.5,2,53.8125,54,2.45003595231483,1,4.125,3.5
46.875,3,1,1,0,61.5,1,54.1875,58,3.05020384694728,1,-3.125,11.5
48.625,3,1,1,0,38.125,4,43.375,52,3.25034894592772,1,-1.375,-11.875
54.125,2,0,NaN,0,55.75,2,54.9375,58,4.96765292379101,1,4.125,5.75
48,3,1,1,0,52.25,2,50.125,53,9.16915146586266,1,-2,2.25
54.375,2,1,1,1,54.375,2,54.375,54,2.86687943309398,1,4.375,4.375
51,2,0,NaN,0,47.75,3,49.375,53,2.20000797397548,1,1,-2.25
55.25,2,0,NaN,0,51,2,53.125,55,4.23400728964177,1,5.25,1
47.625,3,1,1,0,59.375,1,53.5,51,2.95020206688618,1,-2.375,9.375
47.75,3,0,NaN,0,46.625,3,47.1875,59,2.04989271353196,1,-2.25,-3.375
51.75,2,1,1,1,55,2,53.375,58,2.14986742293807,1,1.75,5
52,2,0,NaN,0,58.875,1,55.4375,53,2.28326927559805,1,2,8.875
47.125,3,0,NaN,0,42.5,4,44.8125,40,2.70011695164042,1,-2.875,-7.5
44.625,3,1,-1,1,46.125,3,45.375,56,2.41670467528861,1,-5.375,-3.875
55.25,2,0,NaN,0,48.125,3,51.6875,56,3.11695852818661,1,5.25,-1.875
45.875,3,0,NaN,0,38.875,4,42.375,46,3.48376403895743,1,-4.125,-11.125
51.875,2,0,NaN,0,41.375,4,46.625,51,3.00021871900663,1,1.875,-8.625
46,3,1,1,0,60.625,1,53.3125,54,2.41668891577736,1,-4,10.625
54.25,2,1,1,1,53.75,2,54,49,3.41707325346134,1,4.25,3.75
53.125,2,0,NaN,0,60.875,1,57,60,2.45003806998056,1,3.125,10.875
52.875,2,0,NaN,0,47.375,3,50.125,54,2.6834145078748,1,2.875,-2.625
54.625,2,1,1,1,50.875,2,52.75,60,2.13319126155433,1,4.625,0.875
51.25,2,0,NaN,0,62.875,1,57.0625,57,4.18401137580831,1,1.25,12.875
50.75,2,1,-1,0,48.25,3,49.5,55,2.91689061570199,1,0.75,-1.75
45.875,3,0,NaN,0,50.5,2,48.1875,58,2.60011787400325,1,-4.125,0.5
47.25,3,1,-1,1,59.125,1,53.1875,55,2.45000108104892,1,-2.75,9.125
45.25,3,1,-1,1,46.875,3,46.0625,46,2.26658097472924,1,-4.75,-3.125
50.5,2,0,NaN,0,48.75,3,49.625,63,2.71681861189352,1,0.5,-1.25
47.125,3,0,NaN,0,61.375,1,54.25,57,2.93358751537271,1,-2.875,11.375
45.5,3,0,NaN,0,53.25,2,49.375,58,2.61678592256119,1,-4.5,3.25
45.5,3,1,-1,1,57.125,1,51.3125,62,3.31704829491808,1,-4.5,7.125
51.25,2,1,1,1,58.125,1,54.6875,58,2.23330626413298,1,1.25,8.125
54.125,2,0,NaN,0,50.5,2,52.3125,58,2.6834445392153,1,4.125,0.5
45.875,3,0,NaN,0,61.125,1,53.5,64,1.9331696005078,1,-4.125,11.125
44.75,3,0,NaN,0,58.125,1,51.4375,47,3.36705142896814,1,-5.25,8.125
45.75,3,1,1,0,50.375,2,48.0625,52,3.30034873765224,1,-4.25,0.375
54,2,1,1,1,39.5,4,46.75,47,2.86687920498274,1,4,-10.5
54.125,2,1,1,1,51.25,2,52.6875,53,2.75009907962074,1,4.125,1.25
46.125,3,1,1,0,59.75,1,52.9375,52,1.98321201451978,1,-3.875,9.75
52.125,2,1,1,1,55.25,2,53.6875,57,2.38332172610783,1,2.125,5.25
47.625,3,0,NaN,0,57.75,1,52.6875,56,3.11695097115881,1,-2.375,7.75
50.375,2,0,NaN,0,46,3,48.1875,50,2.29999610743048,1,0.375,-4
48.125,3,1,1,0,57.125,1,52.625,61,2.5834138683699,1,-1.875,7.125
55,2,1,1,1,41.25,4,48.125,47,2.43336658467886,1,5,-8.75
48.375,3,1,-1,1,45,3,46.6875,41,3.31699112865474,1,-1.625,-5
45.5,3,0,NaN,0,53.375,2,49.4375,61,2.41670542904749,1,-4.5,3.375
54,2,0,NaN,0,45,3,49.5,57,2.09991632760741,1,4,-5
54.5,2,0,NaN,0,46.75,3,50.625,55,2.66680122584996,1,4.5,-3.25
47.25,3,0,NaN,0,45.375,3,46.3125,53,3.28369812472726,1,-2.75,-4.625
53.125,2,0,NaN,0,40.75,4,46.9375,43,2.70015885468322,1,3.125,-9.25
44.375,3,1,1,0,50.125,2,47.25,53,4.5341583738644,1,-5.625,0.125
48.25,3,1,1,0,44.625,3,46.4375,52,2.65007307017892,1,-1.75,-5.375
55.125,2,0,NaN,0,38.25,4,46.6875,50,3.08361810211449,1,5.125,-11.75
48.5,3,0,NaN,0,57.375,1,52.9375,58,3.7505208771373,1,-1.5,7.375
50.25,2,0,NaN,0,58,1,54.125,45,2.51672801206014,1,0.25,8
50.625,2,0,NaN,0,61.875,1,56.25,55,2.83345304399572,1,0.625,11.875
45,3,0,NaN,0,42.875,4,43.9375,53,2.99988144642361,1,-5,-7.125
47.25,3,1,-1,1,59.875,1,53.5625,53,2.76681553219344,1,-2.75,9.875
47.25,3,1,1,0,46.375,3,46.8125,53,2.88354312294204,1,-2.75,-3.625
46.625,3,1,-1,1,45.25,3,45.9375,57,2.19990449557663,1,-3.375,-4.75
50.375,2,0,NaN,0,47.25,3,48.8125,50,3.98396879358908,1,0.375,-2.75
47.875,3,1,-1,1,47.625,3,47.75,50,3.03359276669179,1,-2.125,-2.375
46.625,3,1,1,0,44.125,3,45.375,56,2.65012918514698,1,-3.375,-5.875
47.5,3,0,NaN,0,38.5,4,43,54,2.73349226405364,1,-2.5,-11.5
44.625,3,0,NaN,0,57.25,1,50.9375,58,3.30034931764986,1,-5.375,7.25
53.875,2,1,1,1,50.625,2,52.25,55,2.01654536438291,1,3.875,0.625
55.125,2,0,NaN,0,45.25,3,50.1875,54,3.85050475542508,1,5.125,-4.75
53.625,2,0,NaN,0,46.625,3,50.125,51,2.68342726226842,1,3.625,-3.375
54.5,2,0,NaN,0,57.875,1,56.1875,62,2.70012446939342,1,4.5,7.875
46.625,3,0,NaN,0,58.5,1,52.5625,48,2.70011410044829,1,-3.375,8.5
47,3,0,NaN,0,46.125,3,46.5625,48,3.01694890308248,1,-3,-3.875
54,2,1,1,1,60.75,1,57.375,58,2.85020416947673,1,4,10.75
53.5,2,0,NaN,0,48,3,50.75,49,2.09959569762368,1,3.5,-2
47.375,3,0,NaN,0,37.5,4,42.4375,46,3.33367244217876,1,-2.625,-12.5
45.5,3,1,1,0,58.25,1,51.875,58,3.11695892014123,1,-4.5,8.25
45.5,3,0,NaN,0,53.25,2,49.375,57,2.34995727377316,1,-4.5,3.25
53.875,2,1,1,1,59.625,1,56.75,52,2.53342325028762,1,3.875,9.625
51.75,2,1,1,1,48.25,3,50,54,3.05026505018447,1,1.75,-1.75
48.25,3,1,1,0,60.5,1,54.375,59,2.73346886777482,1,-1.75,10.5
52.875,2,0,NaN,0,41,4,46.9375,56,2.63345859285119,1,2.875,-9
46.25,3,0,NaN,0,54.875,2,50.5625,56,2.71680118617844,1,-3.75,4.875
50.375,2,1,1,1,48,3,49.1875,48,2.09992685047804,1,0.375,-2
44.875,3,1,1,0,54,2,49.4375,52,3.06692955329869,1,-5.125,4
51.125,2,0,NaN,0,46.5,3,48.8125,55,3.26699681159995,1,1.125,-3.5
46,3,0,NaN,0,62,1,54,57,2.63338769468798,1,-4,12
46.875,3,0,NaN,0,60,1,53.4375,59,3.41703524338477,1,-3.125,10
54.5,2,0,NaN,0,42.375,4,48.4375,46,2.51671364620939,1,4.5,-7.625
52.875,2,0,NaN,0,55.25,2,54.0625,47,2.04988922719879,1,2.875,5.25
53.875,2,0,NaN,0,41.125,4,47.5,52,2.51672885984052,1,3.875,-8.875
52.125,2,1,1,1,54,2,53.0625,54,2.6834353850121,1,2.125,4
51.5,2,0,NaN,0,61.25,1,56.375,61,2.60009873249494,1,1.5,11.25
54.375,2,1,1,1,52,2,53.1875,49,2.08319072083152,1,4.375,2
46.625,3,0,NaN,0,54.75,2,50.6875,50,2.55003781687626,1,-3.375,4.75
48.125,3,1,1,0,57.25,1,52.6875,59,2.50001327528068,1,-1.875,7.25
45.125,3,0,NaN,0,39,4,42.0625,49,3.91728929940096,1,-4.875,-11
47.75,3,0,NaN,0,44.25,3,46,47,2.58338156067759,1,-2.25,-5.75
55,2,1,1,1,61.125,1,58.0625,59,2.95022679692149,1,5,11.125
51.875,2,0,NaN,0,57.125,1,54.5,54,3.66715153052723,1,1.875,7.125
47.375,3,1,1,0,61.875,1,54.625,56,3.4003583579958,1,-2.625,11.875
46.625,3,1,-1,1,61.625,1,54.125,60,2.58343201809021,1,-3.375,11.625
46.125,3,1,-1,1,46.25,3,46.1875,57,3.05064264886738,1,-3.875,-3.75
52,2,0,NaN,0,46.5,3,49.25,58,2.63343339151823,1,2,-3.5
45.875,3,1,1,0,46,3,45.9375,59,2.26662217320586,1,-4.125,-4
54.375,2,0,NaN,0,47.875,3,51.125,57,3.43374226921093,1,4.375,-2.125
45.875,3,0,NaN,0,61.125,1,53.5,54,1.91647160510969,1,-4.125,11.125
44.875,3,1,-1,1,60.875,1,52.875,68,3.23362078470266,1,-5.125,10.875
47.75,3,0,NaN,0,59.625,1,53.6875,54,2.50000789939303,1,-2.25,9.625
50.5,2,0,NaN,0,57.25,1,53.875,48,3.1002794858571,1,0.5,7.25
54.375,2,1,1,1,52.5,2,53.4375,60,1.98323134446781,1,4.375,2.5
46.125,3,1,1,0,58.625,1,52.375,63,2.53334042131154,1,-3.875,8.625
47.5,3,0,NaN,0,39.5,4,43.5,55,2.60008930059111,1,-2.5,-10.5
51.125,2,1,1,1,45.625,3,48.375,57,2.93352525607966,1,1.125,-4.375
44.25,3,1,1,0,45.875,3,45.0625,49,2.06654735787678,1,-5.75,-4.125
50.5,2,1,1,1,62.25,1,56.375,57,2.88342602253342,1,0.5,12.25
51.75,2,1,1,1,60.5,1,56.125,54,2.71679805212838,1,1.75,10.5
